Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_a,q_b,q_c,q_d,q_e,q_f,q_g,q_h,q_i,q_j,q_k,q_l,q_m,q_n,q_o
0,0,0,0,0,0,0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_2
0,1,1,2,2,1,1,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_2,M_1,M_2,M_2,M_2,M_2
0,2,2,2,4,1,2,M_0,M_0,M_0,M_0,M_2,M_1,M_1,M_1,M_1,M_0,M_1,M_2,M_2,M_2,M_2
0,3,3,0,4,0,2,M_0,M_0,M_0,M_0,M_2,M_1,M_1,M_1,M_1,M_0,M_1,M_2,M_2,M_2,M_2
0,4,4,0,4,0,2,M_0,M_0,M_0,M_0,M_2,M_1,M_1,M_1,M_1,M_0,M_1,M_2,M_2,M_2,M_2
0,5,5,2,6,1,3,M_0,M_2,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1,M_2,M_2,M_2,M_2
0,6,6,0,6,0,3,M_0,M_2,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1,M_2,M_2,M_2,M_2
0,7,7,0,6,0,3,M_0,M_2,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1,M_2,M_2,M_2,M_2
0,8,8,2,8,1,4,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2
0,9,9,0,8,0,4,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2,M_2
0,10,10,2,10,1,5,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_2,M_0,M_2,M_2,M_2,M_2
0,11,11,2,12,1,6,M_0,M_1,M_0,M_0,M_0,M_2,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2
0,12,12,2,14,1,7,M_2,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2
0,13,13,0,14,0,7,M_2,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2
0,14,14,0,14,0,7,M_2,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2
0,15,15,0,14,0,7,M_2,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_2,M_2,M_2,M_2
0,16,16,3,17,0,10,M_1,M_1,M_0,M_2,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_2,M_2,M_2,M_2
0,17,17,2,19,1,11,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_1,M_0,M_2,M_0,M_2,M_2,M_2,M_2
0,18,18,2,21,1,12,M_1,M_1,M_2,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2
0,19,19,0,21,0,12,M_1,M_1,M_2,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2
0,20,20,0,21,0,12,M_1,M_1,M_2,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2
0,21,21,0,21,0,12,M_1,M_1,M_2,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2
0,22,22,2,23,1,13,M_2,M_1,M_1,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2
0,23,23,0,23,0,13,M_2,M_1,M_1,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2
0,24,24,2,25,1,14,M_1,M_1,M_1,M_1,M_0,M_0,M_2,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2
0,25,25,3,28,0,17,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_2,M_0,M_0,M_0,M_2,M_2,M_2,M_2
0,26,26,0,28,0,17,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_2,M_0,M_0,M_0,M_2,M_2,M_2,M_2
0,27,27,0,28,0,17,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_2,M_0,M_0,M_0,M_2,M_2,M_2,M_2
0,28,28,2,30,1,18,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_2,M_0,M_2,M_2,M_2,M_2
0,29,29,0,30,0,18,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_2,M_0,M_2,M_2,M_2,M_2
0,30,30,2,32,1,19,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2
0,31,31,0,32,0,19,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2
0,32,32,0,32,0,19,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2
0,33,33,2,34,1,20,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_0,M_2,M_2,M_2,M_2
0,34,34,0,34,0,20,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_0,M_2,M_2,M_2,M_2
0,35,35,0,34,0,20,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_0,M_2,M_2,M_2,M_2
0,36,36,2,36,1,21,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_2,M_0,M_2,M_2,M_2,M_0
0,37,37,0,36,0,21,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_2,M_0,M_2,M_2,M_2,M_0
0,38,38,2,38,1,22,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_0,M_2,M_2,M_2,M_2
0,39,39,0,38,0,22,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_0,M_2,M_2,M_2,M_2
0,40,40,0,38,0,22,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_0,M_2,M_2,M_2,M_2
0,41,41,0,38,0,22,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_0,M_2,M_2,M_2,M_2
0,42,42,2,40,1,23,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_2,M_0,M_2,M_2,M_2
0,43,43,0,40,0,23,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_2,M_0,M_2,M_2,M_2
0,44,44,0,40,0,23,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_2,M_0,M_2,M_2,M_2
0,45,45,2,42,1,24,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_0,M_2,M_2,M_2,M_2
0,46,46,0,42,0,24,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_0,M_2,M_2,M_2,M_2
0,47,47,0,42,0,24,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_0,M_2,M_2,M_2,M_2
0,48,48,0,42,0,24,M_1,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_0,M_0,M_2,M_2,M_2,M_2
0,49,49,2,44,1,25,M_1,M_1,M_1,M_1,M_0,M_0,M_1,M_0,M_2,M_0,M_0,M_2,M_2,M_2,M_2
0,50,50,2,46,1,26,M_1,M_1,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2
0,51,51,0,46,0,26,M_1,M_1,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2
0,52,52,0,46,0,26,M_1,M_1,M_1,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_2,M_2,M_2,M_2,M_2
0,53,53,2,48,1,27,M_1,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_2,M_2,M_2,M_2,M_2
0,54,54,0,48,0,27,M_1,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_2,M_2,M_2,M_2,M_2
0,55,55,0,48,0,27,M_1,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_2,M_2,M_2,M_2,M_2
0,56,56,0,48,0,27,M_1,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_2,M_2,M_2,M_2,M_2
0,57,57,2,50,1,28,M_1,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_0,M_1,M_2,M_2,M_2,M_2,M_2
0,58,58,0,50,0,28,M_1,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_0,M_1,M_2,M_2,M_2,M_2,M_2
0,59,59,0,50,0,28,M_1,M_0,M_0,M_1,M_0,M_0,M_1,M_1,M_0,M_1,M_2,M_2,M_2,M_2,M_2
0,60,60,2,52,1,29,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_1,M_2,M_2,M_2,M_2,M_2
0,61,61,0,52,0,29,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_1,M_2,M_2,M_2,M_2,M_2
0,62,62,0,52,0,29,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_1,M_2,M_2,M_2,M_2,M_2
0,63,63,0,52,0,29,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_0,M_1,M_2,M_2,M_2,M_2,M_2
