Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19
0,0,0,0,0,0,0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,1,1,0,0,0,0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,2,2,2,2,1,1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,3,3,0,2,0,1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,4,4,0,2,0,1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,5,5,2,4,1,2,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,6,6,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,7,7,0,4,0,2,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_2,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,8,8,2,6,1,3,M_2,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,9,9,0,6,0,3,M_2,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4
0,10,10,0,6,0,3,M_2,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4
1,10,0,0,6,0,3,M_2,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_2,M_2,M_2,M_1,M_3,M_3,M_3,M_3,M_4,M_4,M_4,M_4
